idx,question,db_id,gold_sql,difficulty,lora_sql,lora_correct,dora_sql,dora_correct,complexity_score,complexity_bucket
59,Find the first name of students who have both cat and dog pets .,pets_1,select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',,SELECT T1.FNAME FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.petid  =  'cat' INTERSECT SELECT T1.FNAME FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.petid  =  'dog',True,SELECT Fname FROM Student WHERE PetID  IN (SELECT PetID FROM Pets WHERE PetType  =  'cat') INTERSECT SELECT Fname FROM Student WHERE PetID  IN (SELECT PetID FROM Pets WHERE PetType  =  'dog'),False,6,complex
60,What are the students' first names who have both cats and dogs as pets?,pets_1,SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',,SELECT T1.FNAME FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.petid  =  'cat' INTERSECT SELECT T1.FNAME FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.petid  =  'dog',True,SELECT T1.Fname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.petid  =  (SELECT petid FROM Pets WHERE pettype  =  'cat') INTERSECT SELECT T1.Fname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.petid  =  (SELECT petid FROM Pets WHERE pettype  =  'dog'),True,6,complex
61,Find the major and age of students who do not have a cat pet.,pets_1,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",,"SELECT major ,  age FROM student WHERE petid NOT IN (SELECT petid FROM pets WHERE pettype = ""cat"")",False,"SELECT major ,  age FROM Student WHERE petid NOT IN (SELECT petid FROM Pets WHERE pettype  =  'Cat')",False,3,complex
62,"What major is every student who does not own a cat as a pet, and also how old are they?",pets_1,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",,"SELECT major ,  count(*) FROM student WHERE petid NOT IN (SELECT petid FROM pets WHERE pettype = ""cat"") GROUP BY major",False,"SELECT major ,  count(*) FROM Student WHERE pet_type  =  'cat' EXCEPT SELECT major FROM Student WHERE pet_type  =  'dog'",False,3,complex
63,Find the id of students who do not have a cat pet.,pets_1,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',,SELECT StuID FROM Student EXCEPT SELECT StuID FROM Has_Pet,False,SELECT StuID FROM Student WHERE PetType != 'Cat',False,4,complex
64,What are the ids of the students who do not own cats as pets?,pets_1,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',,"SELECT StuID FROM Student EXCEPT SELECT StuID FROM Has_Pet WHERE PetType  =  ""Cat""",False,SELECT StuID FROM Student WHERE PetType != 'Cat',False,4,complex
65,Find the first name and age of students who have a dog but do not have a cat as a pet.,pets_1,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",,"SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID  =  'dog' EXCEPT SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID  =  'cat'",False,"SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T1.Major  =  'Computer Science' AND T2.pettype  =  'Dog' EXCEPT SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T1.Major  =  'Computer Science' AND T2.pettype  =  'Cat'",False,6,complex
66,What is the first name of every student who has a dog but does not have a cat?,pets_1,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",,SELECT T1.Fname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID  =  'dog' EXCEPT SELECT T1.Fname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID  =  'cat',False,SELECT T1.Fname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.petid  =  'dog' INTERSECT SELECT T1.Fname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.petid  =  'cat',False,6,complex
67,Find the type and weight of the youngest pet.,pets_1,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",,"SELECT pet_type ,  weight FROM pets ORDER BY pet_age ASC LIMIT 1",False,"SELECT pet_type ,  weight FROM pets ORDER BY age ASC LIMIT 1",False,0,simple
68,"What type of pet is the youngest animal, and how much does it weigh?",pets_1,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",,"SELECT pet_type ,  weight FROM Pets ORDER BY pet_age ASC LIMIT 1",False,"SELECT pet_type ,  weight FROM Pets ORDER BY pet_age ASC LIMIT 1",False,0,simple
69,Find the id and weight of all pets whose age is older than 1.,pets_1,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1",,"SELECT pet_id ,  weight FROM Pets WHERE pet_age  >  1",False,"SELECT petid ,  weight FROM Pets WHERE petage  >  1",False,0,simple
70,What is the id and weight of every pet who is older than 1?,pets_1,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1",,"SELECT pet_id ,  weight FROM Pets WHERE pet_age  >  1",False,"SELECT pet_id ,  weight FROM pets WHERE pet_age  >  1",False,0,simple
71,Find the average and maximum age for each type of pet.,pets_1,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",,"SELECT pet_type ,  avg(age) ,  max(age) FROM pets GROUP BY pet_type",False,"SELECT avg(age) ,  max(age) ,  pet_type FROM Pets GROUP BY pet_type",False,3,complex
72,What is the average and maximum age for each pet type?,pets_1,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",,"SELECT pet_type ,  avg(age) ,  max(age) FROM Pets GROUP BY pet_type",False,"SELECT avg(age) ,  max(age) ,  pet_type FROM Pets GROUP BY pet_type",False,3,complex
73,Find the average weight for each pet type.,pets_1,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",,"SELECT pet_type ,  avg(weight) FROM Pets GROUP BY pet_type",False,"SELECT avg(weight) ,  pet_type FROM Pets GROUP BY pet_type",False,2,moderate
74,What is the average weight for each type of pet?,pets_1,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",,"SELECT pet_type ,  avg(weight) FROM Pets GROUP BY pet_type",False,"SELECT avg(weight) ,  pet_type FROM Pets GROUP BY pet_type",False,2,moderate
75,Find the first name and age of students who have a pet.,pets_1,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",,"SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID",True,"SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID",True,1,moderate
76,What are the different first names and ages of the students who do have pets?,pets_1,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",,"SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID",True,"SELECT T1.Fname ,  T1.Age FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID",True,1,moderate
77,Find the id of the pet owned by student whose last name is ‘Smith’.,pets_1,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',,SELECT petid FROM pets WHERE pettype  =  'dog' AND lname  =  'Smith',False,SELECT T2.pet_id FROM pets AS T1 JOIN student AS T2 ON T1.stuid  =  T2.stuid WHERE T2.lname  =  'Smith',False,1,moderate
78,What is the id of the pet owned by the student whose last name is 'Smith'?,pets_1,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',,SELECT petid FROM pets WHERE pettype  =  'dog' AND petowner LIKE '%Smith%',False,SELECT T2.pet_id FROM pets AS T1 JOIN student AS T2 ON T1.pet_id  =  T2.pet_id WHERE T1.pet_type  =  'dog' AND T2.lname  =  'Smith',False,1,moderate
79,Find the number of pets for each student who has any pet and student id.,pets_1,"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",,"SELECT count(*) ,  T1.stuid FROM has_pet AS T1 JOIN student AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",True,"SELECT count(*) ,  t1.stuid FROM student AS t1 JOIN has_pet AS t2 ON t1.stuid  =  t2.stuid GROUP BY t1.stuid",True,3,complex
80,"For students who have pets , how many pets does each student have ? list their ids instead of names .",pets_1,"select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid",,"SELECT T1.stuid ,  count(*) FROM has_pet AS T1 JOIN student AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",False,"SELECT count(*) ,  T1.StuID FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.StuID",True,3,complex
81,Find the first name and gender of student who have more than one pet.,pets_1,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",,"SELECT T1.fname ,  T1.sex FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.StuID HAVING count(*)  >  1",True,"SELECT T1.Fname ,  T1.Sex FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.Fname ,  T1.Sex HAVING count(*)  >  1",True,4,complex
82,What is the first name and gender of the all the students who have more than one pet?,pets_1,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",,"SELECT T1.Fname ,  T1.Sex FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.Fname ,  T1.Sex HAVING count(*)  >  1",True,"SELECT T1.Fname ,  T1.Sex FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.Fname ,  T1.Sex HAVING count(*)  >  1",True,4,complex
83,Find the last name of the student who has a cat that is age 3.,pets_1,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',,SELECT T1.Lname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.pet_type  =  'cat' AND T3.age  =  3,False,SELECT T1.Lname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.pet_type  =  'Cat' AND T3.pet_age  =  3,False,3,complex
84,What is the last name of the student who has a cat that is 3 years old?,pets_1,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',,SELECT T1.Lname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.pet_type  =  'cat' AND T3.age  =  3,False,SELECT T1.Lname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T3.PetID  =  T2.PetID WHERE T3.pet_type  =  'Cat' AND T3.pet_age  =  3,False,3,complex
85,Find the average age of students who do not have any pet .,pets_1,select avg(age) from student where stuid not in (select stuid from has_pet),,SELECT avg(age) FROM student WHERE StuID NOT IN (SELECT StuID FROM has_pet),True,SELECT avg(age) FROM student WHERE StuID NOT IN (SELECT StuID FROM has_pet),True,2,moderate
86,What is the average age for all students who do not own any pets ?,pets_1,select avg(age) from student where stuid not in (select stuid from has_pet),,SELECT avg(age) FROM STUDENT WHERE petid  =  0,False,SELECT avg(age) FROM student WHERE StuID NOT IN (SELECT StuID FROM has_pet),True,2,moderate
87,How many continents are there?,car_1,SELECT count(*) FROM CONTINENTS;,,SELECT count(*) FROM continents,True,SELECT count(*) FROM continents,True,1,moderate
88,What is the number of continents?,car_1,SELECT count(*) FROM CONTINENTS;,,SELECT count(*) FROM continents,True,SELECT count(*) FROM continents,True,1,moderate
89,"How many countries does each continent have? List the continent id, continent name and the number of countries.",car_1,"SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",,"SELECT continent ,  count(*) ,  continent_name FROM countries GROUP BY continent",False,"SELECT continent ,  count(*) FROM continents JOIN countries ON continents.continentid  =  countries.continentid GROUP BY continent",False,3,complex
90,"For each continent, list its id, name, and how many countries it has?",car_1,"SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",,"SELECT continent ,  count(*) ,  country_name FROM countries GROUP BY continent",False,"SELECT continent ,  countryid ,  countryname FROM countries ORDER BY continent",False,3,complex
91,How many countries are listed?,car_1,SELECT count(*) FROM COUNTRIES;,,SELECT count(*) FROM countries,True,SELECT count(*) FROM countries,True,1,moderate
92,How many countries exist?,car_1,SELECT count(*) FROM COUNTRIES;,,SELECT count(*) FROM countries,True,SELECT count(*) FROM countries,True,1,moderate
93,"How many models does each car maker produce? List maker full name, id and the number.",car_1,"SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;",,"SELECT FullName ,  id ,  count(*) FROM car_makers GROUP BY id",False,"SELECT t1.maker ,  t2.id ,  count(*) FROM car_names AS t1 JOIN car_makers AS t2 ON t1.maker  =  t2.maker GROUP BY t1.maker",False,3,complex
94,"What is the full name of each car maker, along with its id and how many models it produces?",car_1,"SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;",,"SELECT FullName ,  COUNT(*) FROM car_makers GROUP BY FullName",False,"SELECT t2.FullName ,  t1.id ,  count(*) FROM car_makers AS t1 JOIN model_list AS t2 ON t1.id  =  t2.Maker GROUP BY t1.id",False,3,complex
95,Which model of the car has the minimum horsepower?,car_1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,,SELECT T2.Model FROM cars_data AS T1 JOIN car_names AS T2 ON T1.MakeId  =  T2.MakeId JOIN model_list AS T3 ON T1.ModelId  =  T3.Model GROUP BY T2.Model ORDER BY T1.Horsepower LIMIT 1,False,SELECT T1.Model FROM cars_data AS T1 JOIN model_list AS T2 ON T1.Model  =  T2.Model GROUP BY T1.Model ORDER BY COUNT(*) ASC LIMIT 1,False,1,moderate
96,What is the model of the car with the smallest amount of horsepower?,car_1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,,SELECT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN car_names AS T3 ON T1.Model  =  T3.Model WHERE T1.Horsepower  =  (SELECT MIN(T1.Horsepower) FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN car_names AS T3 ON T1.Model  =  T3.Model),False,SELECT T2.Model FROM cars_data AS T1 JOIN model_list AS T2 ON T1.Model = T2.Model GROUP BY T1.Model ORDER BY T1.Horsepower LIMIT 1,False,1,moderate
97,Find the model of the car whose weight is below the average weight.,car_1,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),,SELECT T2.Model FROM cars_data AS T1 JOIN car_names AS T2 ON T1.MakeId  =  T2.Make WHERE T1.Weight  <  (SELECT avg(weight) FROM cars_data),False,SELECT T2.Model FROM cars_data AS T1 JOIN countries AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY AVG(T2.Weight) DESC LIMIT 1,False,3,complex
98,What is the model for the car with a weight smaller than the average?,car_1,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),,SELECT T2.Model FROM cars_data AS T1 JOIN car_names AS T2 ON T1.MakeId  =  T2.Make WHERE T1.Weight  <  (SELECT avg(T3.Weight) FROM cars_data AS T3),False,SELECT T2.Model FROM cars_data AS T1 JOIN cars_data AS T2 ON T1.MPg  <  T2.MPg GROUP BY T1.Model,False,3,complex
99,Find the name of the makers that produced some cars in the year of 1970?,car_1,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,,SELECT T1.Maker FROM car_names AS T1 JOIN car_data AS T2 ON T1.MakeId  =  T2.MakeId WHERE T2.Year  =  1970,False,SELECT T2.Maker FROM car_names AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN cars_data AS T3 ON T1.ModelId  =  T3.Model WHERE T3.Year  =  1970,False,3,complex
100,What is the name of the different car makers who produced a car in 1970?,car_1,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,,SELECT T1.Maker FROM car_names AS T1 JOIN car_makers AS T2 ON T1.MakeId  =  T2.id WHERE T2.Year  =  1970,False,SELECT T2.Maker FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN countries AS T3 ON T2.Country  =  T3.Country WHERE T1.Year  =  1970,False,3,complex
101,Find the make and production time of the cars that were produced in the earliest year?,car_1,"SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);",,"SELECT T1.Maker ,  T1.Year FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker WHERE T1.Year  =  (SELECT MIN(T2.Year) FROM cars_data AS T2 JOIN car_makers AS T3 ON T2.Maker  =  T3.Maker)",False,"SELECT T1.Maker ,  T1.Year FROM cars_data AS T1 JOIN countries AS T2 ON T1.Country = T2.CountryId ORDER BY T2.Year ASC",False,3,complex
102,What is the maker of the carr produced in the earliest year and what year was it?,car_1,"SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);",,"SELECT T1.Maker ,  T2.Year FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Country ORDER BY T1.Year ASC LIMIT 1",False,"SELECT T1.maker ,  T2.year FROM cars_data AS T1 JOIN countries AS T2 ON T1.countryid  =  T2.countryid ORDER BY T2.year LIMIT 1",False,3,complex
103,Which distinct car models are the produced after 1980?,car_1,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;,,SELECT DISTINCT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN countries AS T3 ON T1.Country  =  T3.Country WHERE T3.Year  >  1980,False,SELECT DISTINCT T2.Model FROM cars_data AS T1 JOIN model_list AS T2 ON T1.Model  =  T2.Model WHERE T1.Year  >  1980,False,2,moderate
104,What are the different models for the cards produced after 1980?,car_1,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;,,SELECT T2.Model FROM cars_data AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Maker JOIN countries AS T3 ON T1.Country  =  T3.Country WHERE T3.Year  >  1980,False,SELECT DISTINCT T2.Model FROM cars_data AS T1 JOIN model_list AS T2 ON T1.Model  =  T2.Model WHERE T1.Year  >  1980,False,2,moderate
105,How many car makers are there in each continents? List the continent name and the count.,car_1,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;",,"SELECT continent ,  count(*) FROM continents JOIN car_makers ON continents.continent_id  =  car_makers.country_id GROUP BY continent",False,"SELECT continent ,  count(*) FROM continents JOIN countries ON continents.continentid  =  countries.continentid GROUP BY continent",False,4,complex
106,What is the name of each continent and how many car makers are there in each one?,car_1,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;",,"SELECT continent ,  count(*) FROM continents AS T1 JOIN car_makers AS T2 ON T1.contid  =  T2.countryid GROUP BY T1.continent",False,"SELECT continent ,  count(*) FROM continents GROUP BY continent",False,4,complex
107,Which of the countries has the most car makers? List the country name.,car_1,SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;,,SELECT T1.CountryName FROM countries AS T1 JOIN car_makers AS T2 ON T1.Continent  =  T2.Continent JOIN car_names AS T3 ON T2.Maker  =  T3.Maker GROUP BY T1.CountryName ORDER BY count(*) DESC LIMIT 1,False,"SELECT T2.CountryName FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId  =  T2.Country WHERE T2.Continent  =  ""Asia""",False,3,complex
108,What is the name of the country with the most car makers?,car_1,SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;,,SELECT T1.CountryName FROM countries AS T1 JOIN car_makers AS T2 ON T1.Continent  =  T2.Continent JOIN car_names AS T3 ON T2.Maker  =  T3.Maker JOIN models AS T4 ON T3.Model  =  T4.Model GROUP BY T1.CountryName ORDER BY count(*) DESC LIMIT 1,False,SELECT T2.CountryName FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId  =  T2.Country WHERE T2.CountryName  =  (SELECT T1.CountryName FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId ORDER BY count(*) DESC LIMIT 1),False,3,complex
109,How many car models are produced by each maker ? Only list the count and the maker full name .,car_1,"select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;",,"SELECT count(*) ,  maker FROM car_names GROUP BY maker",False,"SELECT count(*) ,  maker FROM car_names GROUP BY maker",False,3,complex
110,What is the number of car models that are produced by each maker and what is the id and full name of each maker?,car_1,"SELECT Count(*) ,  T2.FullName ,  T2.id FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id GROUP BY T2.id;",,"SELECT count(*) ,  country FROM car_names GROUP BY maker",False,"SELECT count(*) ,  t1.Maker ,  t1.FullName FROM car_names AS t1 JOIN car_makers AS t2 ON t1.Maker  =  t2.Maker GROUP BY t1.Maker",False,3,complex
111,What is the accelerate of the car make amc hornet sportabout (sw)?,car_1,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';,,"SELECT accelerate FROM cars_data WHERE maker  =  ""amc hornet sportabout"" AND model  =  ""sw""",False,"SELECT accelerate FROM cars_data WHERE maker  =  ""amc hornet sportabout""",False,1,moderate
112,How much does the car accelerate that makes amc hornet sportabout (sw)?,car_1,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';,,"SELECT accelerate FROM cars_data WHERE make = ""amc"" AND model = ""hornet sportabout"" AND country = ""USA""",False,SELECT accelerate FROM cars_data WHERE maker  =  'amc hornet sportabout',False,1,moderate
113,How many car makers are there in france?,car_1,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,,SELECT count(*) FROM car_makers WHERE country  =  'France',False,"SELECT count(*) FROM countries WHERE countryName  =  ""France"" INTERSECT SELECT count(*) FROM car_makers WHERE country  =  ""France""",False,2,moderate
